id,name,area,salary,experience,cnt_skills,key_skills,alternate_url
54528969,Middle PHP разработчик (middle backend php developer),Ростов-на-Дону,206500,2,13,"MySQL, Symfony, ООП, PHP 7.3, PHP7, NoSQL, SOLID, Docker, Memcached, PostgreSQL, Redis, API, Git",https://hh.ru/vacancy/54528969
54528980,Middle PHP разработчик (middle backend php developer),Рязань,206500,2,13,"MySQL, Symfony, ООП, PHP 7.3, PHP7, NoSQL, SOLID, Docker, Memcached, PostgreSQL, Redis, API, Git",https://hh.ru/vacancy/54528980
54528965,Middle PHP разработчик (middle backend php developer),Красноярск,206500,2,13,"MySQL, Symfony, ООП, PHP 7.3, PHP7, NoSQL, SOLID, Docker, Memcached, PostgreSQL, Redis, API, Git",https://hh.ru/vacancy/54528965
54528962,Middle PHP разработчик (middle backend php developer),Омск,206500,2,13,"MySQL, Symfony, ООП, PHP 7.3, PHP7, NoSQL, SOLID, Docker, Memcached, PostgreSQL, Redis, API, Git",https://hh.ru/vacancy/54528962
54528975,Middle PHP разработчик (middle backend php developer),Ижевск,206500,2,13,"MySQL, Symfony, ООП, PHP 7.3, PHP7, NoSQL, SOLID, Docker, Memcached, PostgreSQL, Redis, API, Git",https://hh.ru/vacancy/54528975
54528967,Middle PHP разработчик (middle backend php developer),Ярославль,206500,2,13,"MySQL, Symfony, ООП, PHP 7.3, PHP7, NoSQL, SOLID, Docker, Memcached, PostgreSQL, Redis, API, Git",https://hh.ru/vacancy/54528967
54528966,Middle PHP разработчик (middle backend php developer),Тюмень,206500,2,13,"MySQL, Symfony, ООП, PHP 7.3, PHP7, NoSQL, SOLID, Docker, Memcached, PostgreSQL, Redis, API, Git",https://hh.ru/vacancy/54528966
54528973,Middle PHP разработчик (middle backend php developer),Саратов,206500,2,13,"MySQL, Symfony, ООП, PHP 7.3, PHP7, NoSQL, SOLID, Docker, Memcached, PostgreSQL, Redis, API, Git",https://hh.ru/vacancy/54528973
54528974,Middle PHP разработчик (middle backend php developer),Барнаул,206500,2,13,"MySQL, Symfony, ООП, PHP 7.3, PHP7, NoSQL, SOLID, Docker, Memcached, PostgreSQL, Redis, API, Git",https://hh.ru/vacancy/54528974
54528970,Middle PHP разработчик (middle backend php developer),Мурманск,206500,2,13,"MySQL, Symfony, ООП, PHP 7.3, PHP7, NoSQL, SOLID, Docker, Memcached, PostgreSQL, Redis, API, Git",https://hh.ru/vacancy/54528970
54528976,Middle PHP разработчик (middle backend php developer),Тольятти,206500,2,13,"MySQL, Symfony, ООП, PHP 7.3, PHP7, NoSQL, SOLID, Docker, Memcached, PostgreSQL, Redis, API, Git",https://hh.ru/vacancy/54528976
54528971,Middle PHP разработчик (middle backend php developer),Челябинск,206500,2,13,"MySQL, Symfony, ООП, PHP 7.3, PHP7, NoSQL, SOLID, Docker, Memcached, PostgreSQL, Redis, API, Git",https://hh.ru/vacancy/54528971
54528963,Middle PHP разработчик (middle backend php developer),Томск,206500,2,13,"MySQL, Symfony, ООП, PHP 7.3, PHP7, NoSQL, SOLID, Docker, Memcached, PostgreSQL, Redis, API, Git",https://hh.ru/vacancy/54528963
54528977,Middle PHP разработчик (middle backend php developer),Иркутск,206500,2,13,"MySQL, Symfony, ООП, PHP 7.3, PHP7, NoSQL, SOLID, Docker, Memcached, PostgreSQL, Redis, API, Git",https://hh.ru/vacancy/54528977
54528979,Middle PHP разработчик (middle backend php developer),Кемерово,206500,2,13,"MySQL, Symfony, ООП, PHP 7.3, PHP7, NoSQL, SOLID, Docker, Memcached, PostgreSQL, Redis, API, Git",https://hh.ru/vacancy/54528979
54452946,Java backend developer,Иннополис,201100,2,9,"Java, Spring Framework, Apache Maven, JUnit, JDBC, Git, SQL, Gradle, Java Core",https://hh.ru/vacancy/54452946
53517403,Python Backend Developer,Санкт-Петербург,200000,2,13,"PostgreSQL, OOP, SQL, Flask, Python, Web, aiohttp, ORM, Управление проектами, Коммуникация, Паттерны проектирования, Оптимизация запросов, СУБД",https://hh.ru/vacancy/53517403
54572151,Middle Backend Developer Node.js,Москва,200000,2,11,"Docker, SQL, Git, Node.js, Redis, Blockchain, Блокчейн, Криптовалюта, Удаленная работа, Работа с базами данных, MySQL",https://hh.ru/vacancy/54572151
54633496,Разработчик Java (backend),Москва,200000,2,9,"Java, Spring Framework, PostgreSQL, Git, Spring Boot, NoSQL, Kafka, RabbitMQ, Spring 4",https://hh.ru/vacancy/54633496
54734452,Backend-разработчик (Java),Тверь,200000,2,6,"PostgreSQL, Java, Spring Framework, Git, Intellij IDEA, Docker",https://hh.ru/vacancy/54734452
54760423,Middle/Senior Backend PHP разработчик,Екатеринбург,200000,2,7,"PHP, PostgreSQL, MySQL, MongoDB, Redis, ClickHouse, Backend",https://hh.ru/vacancy/54760423
54330198,.NET Server-side Developer (MMO),Санкт-Петербург,200000,2,6,"C#, .NET Framework, ООП, Entity Framework, .NET Core, Unity",https://hh.ru/vacancy/54330198
51122852,Backend Developer (PHP/Yii2/Laravel),Казань,200000,2,8,"CSS, Git, MySQL, JavaScript, PHP, HTML, jQuery, Memcached",https://hh.ru/vacancy/51122852
